Unnamed: 0,LocalY,Mean Speed,Mean Acceleration,LocalY_leader,Mean Speed_leader,Spacing,Relative Speed,segment_id,Driving Regime
284992,79.01748,2.08219,-0.15172,91.02066,2.81807,12.00318,0.7358799999999999,3027,1
576197,213.61652,5.5992,-0.01801,231.12763,3.04043,17.511110000000002,-2.5587699999999995,6102,1
366531,183.56182,0.45447,0.00876,191.17133,0.10108,7.60951,-0.35339,3915,1
687098,223.96058,5.33555,2.12999,245.84055,9.1276,21.87997000000001,3.79205,10566,3
760867,229.54056,0.0,0.0,234.87877,0.0,5.338210000000004,0.0,148,5
760137,234.87877,0.0,0.0,241.28919,1.50305,6.410419999999988,1.50305,147,5
686139,224.15702,2.36602,0.79296,274.3418,12.42113,50.18477999999999,10.05511,10554,3
253253,142.08685,5.03367,-1.07985,149.30414,1.23253,7.217289999999991,-3.80114,4135,2
141155,89.82398,5.80252,1.01449,103.63097,6.14067,13.80699,0.3381499999999997,1262,4
620388,156.38934,0.0,0.0,164.77086,0.0,8.381519999999995,0.0,108,5
897409,367.90744,4.78509,0.84656,380.12393,5.80161,12.216489999999965,1.01652,13863,3
125116,304.2154,3.91796,2.13888,313.89983,4.85375,9.68443000000002,0.93579,2360,3
205851,250.89152,0.0,0.0,257.45177,0.3994,6.560249999999996,0.3994,10,5
534073,327.61223,3.8537,-0.00811,338.71638,2.93441,11.104150000000004,-0.9192899999999996,5656,1
523459,357.6217,7.57453,-0.14896,372.71141,7.62253,15.089710000000023,0.048,15397,0
962503,154.62147,4.13371,1.45004,165.15669,2.69218,10.53522000000001,-1.4415299999999998,7748,4
177814,321.50776,4.25072,-0.0005,331.88253,4.08653,10.374769999999955,-0.1641900000000005,5665,0
457499,60.65709,8.24896,2.89106,84.62631,8.37871,23.969220000000007,0.1297499999999996,7356,3
363310,223.20809,0.0,0.0,233.78393,0.0,10.57584,0.0,53,5
616266,184.79831,0.0,0.0,194.14943,0.0,9.351120000000009,0.0,101,5
615622,202.72762,0.0,0.0,209.95758,0.0,7.229960000000005,0.0,100,5
794776,243.3638,0.61896,1.75529,252.20597,3.20226,8.84217000000001,2.5833,6519,4
211278,328.34569,8.10283,0.87165,347.74707,7.61766,19.401380000000017,-0.485170000000001,3702,3
687049,208.73016,4.04128,-0.67003,216.77369,2.70562,8.043529999999976,-1.3356600000000003,7347,1
514252,256.91099,9.36334,2.6253,276.34736,9.21389,19.436369999999958,-0.1494500000000016,8285,3
745166,413.54828,0.97575,0.00037,421.42817,1.3664,7.879890000000046,0.39065,21174,0
499651,378.15785,5.40371,0.00055,390.96476,5.55122,12.806910000000016,0.1475099999999995,14694,0
1026023,197.825,7.61676,1.21624,0.0,0.0,-197.825,-7.61676,15878,3
124080,325.5803,9.06079,2.23921,338.91223,6.08513,13.33193,-2.9756600000000004,2340,3
601357,363.74291,5.58777,2.13397,377.06145,5.56063,13.318539999999985,-0.0271400000000001,4902,4
1052601,136.19283,7.46651,-0.64,160.65775,5.24551,24.464920000000006,-2.221,16542,2
92307,195.51572,6.14733,0.47291,216.15656,8.22897,20.640840000000026,2.08164,849,4
204573,240.61764,7.06978,-2.44649,252.44408,7.96752,11.82644000000002,0.8977400000000006,3506,2
997402,404.71308,10.72245,-0.5203,425.54909,8.50815,20.836009999999987,-2.2143,15514,2
195577,410.18057,8.51609,1.94633,440.12592,9.13326,29.94535000000002,0.6171699999999998,3518,3
212366,172.83644,6.79525,1.18823,187.57361,6.63822,14.737169999999992,-0.1570300000000006,3712,3
443209,115.2662,8.75106,0.90522,133.87751,9.33834,18.611310000000003,0.5872799999999998,3689,4
289552,339.38046,8.9812,-0.0748,380.39111,9.01715,41.01065,0.0359500000000014,8683,0
996861,190.36374,4.23907,0.87581,203.23087,5.15996,12.867130000000005,0.92089,15409,3
1053213,114.92086,17.3891,-1.2202,144.58089,13.65214,29.66003000000001,-3.73696,16557,2
294194,66.11603,6.67023,0.07173,102.26811,7.71268,36.15208,1.0424499999999997,8803,0
999957,421.11409,6.4623,-1.58462,434.16396,7.30284,13.04987,0.8405399999999998,15548,2
361749,241.42201,0.0,0.0,248.462,0.0,7.039989999999989,0.0,50,5
944550,240.47302,6.99544,1.99211,254.63865,9.14071,14.16563000000002,2.14527,14601,3
608777,262.75733,1.16733,0.02012,269.8822,1.52031,7.124869999999987,0.35298,17465,0
608826,268.49002,1.17003,0.00099,275.33047,0.81523,6.840449999999976,-0.3547999999999999,17465,0
22443,189.78329,15.64978,2.59406,250.06898,18.35682,60.28569000000002,2.7070399999999992,221,4
583467,167.97145,2.9887,0.70715,182.63048,6.02785,14.65903,3.03915,9181,3
361064,257.74349,0.48197,0.00028,268.04057,0.10918,10.297079999999994,-0.37279,10808,0
614853,197.20385,2.73985,1.54044,208.70432,3.08827,11.500470000000009,0.3484199999999999,5000,4
364700,207.62421,0.0,0.0,217.79459,0.46489,10.170379999999994,0.46489,3886,1
604163,300.44046,3.14084,-0.67709,311.69878,0.67388,11.258320000000026,-2.46696,6385,1
505238,308.0635,5.96213,-0.69425,319.73762,5.0244,11.674120000000016,-0.9377300000000002,8124,2
835658,153.28587,7.61882,-0.00112,172.98905,6.25469,19.703180000000003,-1.3641300000000005,8898,1
125133,312.77704,6.04116,0.62128,325.0797,8.11945,12.302660000000005,2.078290000000001,2360,3
136574,117.17687,5.21395,-0.91806,125.16595,3.66515,7.989080000000001,-1.5487999999999995,2521,2
22683,181.13049,17.6461,1.6647,238.92971,15.86031,57.79921999999999,-1.7857900000000004,486,3
192593,102.99586,2.23652,0.94376,128.38241,6.04335,25.38655,3.80683,3486,3
1052331,117.57746,7.06382,-0.98714,134.49431,4.54582,16.91685000000001,-2.518,16535,2
1035158,212.29212,2.67478,6e-05,0.0,0.0,-212.29212,-2.67478,29493,0
466860,193.01691,9.44852,0.70925,219.9956,10.2673,26.97869,0.8187800000000003,3865,4
589667,104.29347,2.33235,0.0528,112.27669,2.93495,7.983220000000003,0.6026000000000002,17025,0
351314,312.58693,7.57689,0.12451,340.93452,6.7381,28.347590000000025,-0.8387899999999995,3727,1
992329,396.63515,11.15418,-1.11253,426.00015,7.65485,29.36500000000001,-3.4993300000000005,15457,2
615168,372.98851,7.61533,-0.02594,391.9999,6.64301,19.01139000000001,-0.97232,6499,1
177218,323.30153,4.08656,-0.00019,334.63992,3.82832,11.338390000000004,-0.2582400000000002,1922,1
620381,156.38934,0.0,0.0,164.77086,0.0,8.381519999999995,0.0,108,5
395472,187.15488,3.44766,-0.90796,197.93274,2.0345,10.777860000000004,-1.41316,6416,2
326938,185.44105,8.44747,0.62036,215.80626,10.60447,30.36521000000002,2.157,2762,4
1052622,149.52301,5.10367,-1.47759,175.74243,7.67854,26.219420000000014,2.57487,16542,2
967707,51.94378,0.0,0.0,59.99058,2.04475,8.046800000000005,2.04475,193,5
1052710,138.23855,12.19596,-0.7651,0.0,0.0,-138.23855,-12.19596,16545,2
984603,220.91558,2.27686,-0.0033,231.93154,2.10155,11.015960000000009,-0.17531,28076,0
879680,229.17905,19.36744,-1.71043,335.13058,13.89592,105.95153000000002,-5.471519999999998,13622,2
123463,278.36764,7.6201,0.00553,306.79971,5.44153,28.43207000000001,-2.17857,1382,1
797211,219.1729,0.0,0.0,227.57423,0.0,8.401330000000002,0.0,168,5
143781,311.049,9.35479,0.59234,331.35613,11.07458,20.30713000000003,1.7197899999999997,2733,3
1009150,347.15304,4.05534,-2.93164,353.89527,2.90679,6.742230000000006,-1.1485500000000002,15672,2
406358,432.46562,1.32951,-0.25737,446.42481,1.52367,13.959189999999978,0.1941600000000001,4322,1
1054538,185.41782,0.0,0.0,193.70494,0.16262,8.287119999999987,0.16262,224,5
675088,330.28973,8.38076,-1.35999,346.17527,6.10913,15.885539999999992,-2.27163,7229,1
759364,240.07771,0.0,0.0,247.61476,0.0,7.537049999999994,0.0,146,5
794284,64.91783,7.64811,-0.28816,74.22572,6.44303,9.30789,-1.2050799999999997,12326,2
639385,102.46417,0.82873,0.05531,109.21052,1.36838,6.746350000000007,0.53965,9795,3
872632,206.59631,5.18161,1.59055,218.44342,5.79614,11.847110000000017,0.6145300000000002,13374,3
206110,374.09841,5.503,-0.00014,382.76709,5.24968,8.668679999999995,-0.2533200000000004,6417,0
628992,69.8832,0.0,0.0,83.95546,0.51366,14.07226,0.51366,121,5
788556,85.20491,6.1408,0.01278,118.35808,5.76771,33.15317,-0.3730899999999995,22231,0
899595,351.40582,7.49033,1.86736,370.3558,8.60676,18.949979999999982,1.1164299999999994,13894,3
1052705,132.06642,12.55807,-0.6857,0.0,0.0,-132.06642,-12.55807,16545,2
557712,88.12625,7.37971,0.73102,100.5648,7.25415,12.438550000000006,-0.1255600000000001,8850,3
753885,304.84967,0.24796,-1.61855,309.79802,0.0,4.948350000000005,-0.24796,11797,2
905219,213.83181,7.8777,0.11787,232.64594,7.63357,18.81413000000001,-0.2441300000000001,25747,0
515678,262.07112,8.48745,-0.15604,281.8878,8.78179,19.81668000000002,0.29434,5479,1
218436,92.63511,0.0,0.0,103.66359,0.73527,11.028480000000002,0.73527,25,5
3199,193.09237,10.84442,0.78707,223.48609,13.36365,30.39372,2.5192300000000003,46,4
723320,375.23163,0.37874,1.11077,386.44685,1.4987,11.215219999999988,1.1199599999999998,5953,4
517139,339.63668,6.08211,-0.05981,352.39407,6.09666,12.757389999999988,0.0145499999999998,5487,1
564943,376.39918,5.35383,2.45801,408.36392,6.39168,31.96474000000001,1.0378499999999995,4646,4
188376,188.98423,4.75623,-0.02233,206.44089,7.09318,17.45666,2.33695,5972,0
791757,420.0906,3.01752,0.00065,429.29171,4.84653,9.201110000000028,1.8290099999999996,22304,0
827654,194.64697,6.48723,-2.84909,205.54153,3.05634,10.894559999999984,-3.43089,12752,2
484555,352.99081,6.09644,-0.00102,373.64158,6.01008,20.65076999999997,-0.0863599999999999,14273,0
282004,375.30814,8.42325,2.6985,397.66816,8.69554,22.36002000000002,0.2722899999999999,2372,4
309913,371.6183,5.04455,0.52859,377.66646,5.70321,6.048159999999996,0.6586600000000002,5196,3
418993,85.54852,5.6628,-0.00155,125.60577,5.53581,40.05725000000001,-0.1269900000000001,12313,0
642185,55.44655,2.7538,1.45497,72.38495,4.4849,16.9384,1.7310999999999996,5297,4
823806,354.78379,9.39246,-1.58412,374.7447,7.818,19.960910000000013,-1.5744600000000002,12689,2
526393,65.51705,10.89193,0.84545,96.35525,8.69595,30.8382,-2.1959800000000005,8455,3
1029275,123.01532,11.85602,-1.77886,158.24762,9.34082,35.23230000000001,-2.5151999999999983,16015,2
314803,275.35236,7.50784,-0.10009,295.96759,5.93516,20.61523,-1.57268,3366,1
191751,415.17777,10.23692,-2.44003,433.65491,5.04642,18.477139999999963,-5.190499999999999,3345,2
1465,282.43171,16.50177,1.55468,338.40486,19.50302,55.973149999999976,3.001249999999999,32,3
1035071,189.05548,2.68988,-0.07219,204.02227,2.79572,14.966790000000003,0.1058400000000001,29493,0
1029293,141.99238,9.34696,-1.03733,172.57156,7.05835,30.579180000000008,-2.28861,16015,2
615196,392.58617,6.68636,-0.59661,407.43082,4.29714,14.84465,-2.38922,6499,1
389764,227.65941,5.80456,-2.05737,244.21238,3.52351,16.552969999999988,-2.2810500000000005,6339,2
534252,387.36482,4.23263,0.0406,395.37133,4.44444,8.006509999999992,0.2118099999999998,15674,0
119992,57.29786,6.39428,2.27318,84.32846,8.04679,27.030600000000007,1.6525099999999997,2275,3
1025882,118.89488,9.62541,-1.98683,137.85274,8.65233,18.95786000000001,-0.9730800000000012,15927,2
965157,206.8277,7.76501,0.76476,220.74101,8.90927,13.913309999999996,1.1442599999999992,14946,3
362531,233.78393,0.0,0.0,241.82495,0.0,8.041020000000003,0.0,52,5
426019,316.44976,6.86081,2.02875,328.8796,8.67941,12.429839999999956,1.8186000000000009,3542,4
