,Vehicle ID,Frame Id,Lane Id,LocalY,Mean Speed,Mean Acceleration,Vehicle Length,Vehicle Class Id,Follower Id,Leader Id,LocalY_leader,Mean Speed_leader,Vehicle Length_leader,Driving Regime
8843,36.0,117.0,3.0,76.0767,4.50276,-0.04241,7.5599,3.0,50.0,-1.0,,,,F
8844,36.0,118.0,3.0,76.52616,4.4946,-0.08162,7.5599,3.0,50.0,-1.0,,,,F
8845,36.0,119.0,3.0,76.97402,4.47854,-0.16062,7.5599,3.0,50.0,-1.0,,,,F
8846,36.0,120.0,3.0,77.41861,4.44589,-0.32648,7.5599,3.0,50.0,-1.0,,,,D
8847,36.0,121.0,3.0,77.85667,4.38064,-0.65252,7.5599,3.0,50.0,-1.0,,,,D
8848,36.0,122.0,3.0,78.28279,4.26119,-1.19455,7.5599,3.0,50.0,-1.0,,,,D
8849,36.0,123.0,3.0,78.68984,4.07047,-1.9072,7.5599,3.0,50.0,-1.0,,,,D
8850,36.0,124.0,3.0,79.07087,3.8103,-2.60169,7.5599,3.0,50.0,-1.0,,,,D
8851,36.0,125.0,3.0,79.42152,3.50657,-3.03726,7.5599,3.0,50.0,-1.0,,,,D
8852,36.0,126.0,3.0,79.74163,3.20103,-3.05545,7.5599,3.0,50.0,-1.0,,,,D
8853,36.0,127.0,3.0,80.03558,2.93954,-2.61491,7.5599,3.0,50.0,-1.0,,,,D
8854,36.0,128.0,3.0,80.3115,2.75918,-1.80353,7.5599,3.0,50.0,-1.0,,,,D
8855,36.0,129.0,3.0,80.57866,2.67161,-0.87569,7.5599,3.0,50.0,-1.0,,,,F
8856,36.0,130.0,3.0,80.84429,2.65631,-0.15301,7.5599,3.0,50.0,-1.0,,,,F
8857,36.0,131.0,3.0,81.11192,2.67629,0.19975,7.5599,3.0,50.0,-1.0,,,,F
8858,36.0,132.0,3.0,81.38211,2.70194,0.2565,7.5599,3.0,50.0,-1.0,,,,F
8859,36.0,133.0,3.0,81.6542,2.7209,0.18962,7.5599,3.0,50.0,-1.0,,,,F
8860,36.0,134.0,3.0,81.92742,2.73221,0.11312,7.5599,3.0,50.0,-1.0,,,,F
8861,36.0,135.0,3.0,82.2012,2.73778,0.05568,7.5599,3.0,50.0,-1.0,,,,F
8862,36.0,136.0,3.0,82.47508,2.73877,0.00986,7.5599,3.0,50.0,-1.0,,,,F
8863,36.0,137.0,3.0,82.7486,2.73519,-0.03574,7.5599,3.0,50.0,-1.0,,,,F
8864,36.0,138.0,3.0,83.02118,2.72583,-0.09367,7.5599,3.0,50.0,-1.0,,,,F
8865,36.0,139.0,3.0,83.29195,2.70768,-0.18146,7.5599,3.0,50.0,-1.0,,,,F
8866,36.0,140.0,3.0,83.55947,2.6752,-0.32475,7.5599,3.0,50.0,-1.0,,,,F
8867,36.0,141.0,3.0,83.82137,2.61904,-0.56161,7.5599,3.0,50.0,-1.0,,,,D
8868,36.0,142.0,3.0,84.07386,2.52486,-0.94181,7.5599,3.0,50.0,-1.0,,,,D
8869,36.0,143.0,3.0,84.31141,2.37552,-1.49343,7.5599,3.0,50.0,-1.0,,,,D
8870,36.0,144.0,3.0,84.52738,2.15974,-2.15781,7.5599,3.0,50.0,-1.0,,,,D
8871,36.0,145.0,3.0,84.71557,1.88184,-2.77899,7.5599,3.0,50.0,-1.0,,,,D
8872,36.0,146.0,3.0,84.87181,1.5624,-3.19437,7.5599,3.0,50.0,-1.0,,,,D
8873,36.0,147.0,3.0,84.99484,1.23033,-3.32067,7.5599,3.0,50.0,-1.0,,,,D
8874,36.0,148.0,3.0,85.08636,0.91516,-3.15172,7.5599,3.0,50.0,-1.0,,,,D
8875,36.0,149.0,3.0,85.15052,0.64161,-2.73557,7.5599,3.0,50.0,-1.0,,,,D
8876,36.0,150.0,3.0,85.19286,0.42346,-2.18145,7.5599,3.0,50.0,-1.0,,,,D
8877,36.0,151.0,3.0,85.21883,0.25968,-1.63785,7.5599,3.0,50.0,-1.0,,,,D
